,persons_2,persons_4,persons_more,safety_high,safety_low,safety_med
543,1,0,0,0,0,1
544,1,0,0,1,0,0
545,1,0,0,0,1,0
546,1,0,0,0,0,1
547,1,0,0,1,0,0
548,0,1,0,0,1,0
549,0,1,0,0,0,1
550,0,1,0,1,0,0
551,0,1,0,0,1,0
552,0,1,0,0,0,1
553,0,1,0,1,0,0
554,0,1,0,0,1,0
555,0,1,0,0,0,1
556,0,1,0,1,0,0
557,0,0,1,0,1,0
558,0,0,1,0,0,1
559,0,0,1,1,0,0
560,0,0,1,0,1,0
561,0,0,1,0,0,1
562,0,0,1,1,0,0
563,0,0,1,0,1,0
564,0,0,1,0,0,1
565,0,0,1,1,0,0
566,1,0,0,0,1,0
567,1,0,0,0,0,1
568,1,0,0,1,0,0
569,1,0,0,0,1,0
570,1,0,0,0,0,1
571,1,0,0,1,0,0
572,1,0,0,0,1,0
573,1,0,0,0,0,1
574,1,0,0,1,0,0
575,0,1,0,0,1,0
576,0,1,0,0,0,1
577,0,1,0,1,0,0
578,0,1,0,0,1,0
579,0,1,0,0,0,1
580,0,1,0,1,0,0
581,0,1,0,0,1,0
582,0,1,0,0,0,1
583,0,1,0,1,0,0
584,0,0,1,0,1,0
585,0,0,1,0,0,1
586,0,0,1,1,0,0
587,0,0,1,0,1,0
588,0,0,1,0,0,1
589,0,0,1,1,0,0
590,0,0,1,0,1,0
591,0,0,1,0,0,1
592,0,0,1,1,0,0
593,1,0,0,0,1,0
594,1,0,0,0,0,1
595,1,0,0,1,0,0
596,1,0,0,0,1,0
597,1,0,0,0,0,1
598,1,0,0,1,0,0
599,1,0,0,0,1,0
600,1,0,0,0,0,1
601,1,0,0,1,0,0
602,0,1,0,0,1,0
603,0,1,0,0,0,1
604,0,1,0,1,0,0
605,0,1,0,0,1,0
606,0,1,0,0,0,1
607,0,1,0,1,0,0
608,0,1,0,0,1,0
609,0,1,0,0,0,1
610,0,1,0,1,0,0
611,0,0,1,0,1,0
612,0,0,1,0,0,1
613,0,0,1,1,0,0
614,0,0,1,0,1,0
615,0,0,1,0,0,1
616,0,0,1,1,0,0
617,0,0,1,0,1,0
618,0,0,1,0,0,1
619,0,0,1,1,0,0
620,1,0,0,0,1,0
621,1,0,0,0,0,1
622,1,0,0,1,0,0
623,1,0,0,0,1,0
624,1,0,0,0,0,1
625,1,0,0,1,0,0
626,1,0,0,0,1,0
627,1,0,0,0,0,1
628,1,0,0,1,0,0
629,0,1,0,0,1,0
630,0,1,0,0,0,1
631,0,1,0,1,0,0
632,0,1,0,0,1,0
633,0,1,0,0,0,1
634,0,1,0,1,0,0
635,0,1,0,0,1,0
636,0,1,0,0,0,1
637,0,1,0,1,0,0
638,0,0,1,0,1,0
639,0,0,1,0,0,1
640,0,0,1,1,0,0
641,0,0,1,0,1,0
642,0,0,1,0,0,1
643,0,0,1,1,0,0
644,0,0,1,0,1,0
645,0,0,1,0,0,1
646,0,0,1,1,0,0
647,1,0,0,0,1,0
648,1,0,0,0,0,1
649,1,0,0,1,0,0
650,1,0,0,0,1,0
651,1,0,0,0,0,1
652,1,0,0,1,0,0
653,1,0,0,0,1,0
654,1,0,0,0,0,1
655,1,0,0,1,0,0
656,0,1,0,0,1,0
657,0,1,0,0,0,1
658,0,1,0,1,0,0
659,0,1,0,0,1,0
660,0,1,0,0,0,1
661,0,1,0,1,0,0
662,0,1,0,0,1,0
663,0,1,0,0,0,1
664,0,1,0,1,0,0
665,0,0,1,0,1,0
666,0,0,1,0,0,1
667,0,0,1,1,0,0
668,0,0,1,0,1,0
669,0,0,1,0,0,1
670,0,0,1,1,0,0
671,0,0,1,0,1,0
672,0,0,1,0,0,1
673,0,0,1,1,0,0
674,1,0,0,0,1,0
675,1,0,0,0,0,1
676,1,0,0,1,0,0
677,1,0,0,0,1,0
678,1,0,0,0,0,1
679,1,0,0,1,0,0
680,1,0,0,0,1,0
681,1,0,0,0,0,1
682,1,0,0,1,0,0
683,0,1,0,0,1,0
684,0,1,0,0,0,1
685,0,1,0,1,0,0
686,0,1,0,0,1,0
687,0,1,0,0,0,1
688,0,1,0,1,0,0
689,0,1,0,0,1,0
690,0,1,0,0,0,1
691,0,1,0,1,0,0
692,0,0,1,0,1,0
693,0,0,1,0,0,1
694,0,0,1,1,0,0
695,0,0,1,0,1,0
696,0,0,1,0,0,1
697,0,0,1,1,0,0
698,0,0,1,0,1,0
699,0,0,1,0,0,1
700,0,0,1,1,0,0
701,1,0,0,0,1,0
702,1,0,0,0,0,1
703,1,0,0,1,0,0
704,1,0,0,0,1,0
705,1,0,0,0,0,1
706,1,0,0,1,0,0
707,1,0,0,0,1,0
708,1,0,0,0,0,1
709,1,0,0,1,0,0
710,0,1,0,0,1,0
711,0,1,0,0,0,1
712,0,1,0,1,0,0
713,0,1,0,0,1,0
714,0,1,0,0,0,1
715,0,1,0,1,0,0
716,0,1,0,0,1,0
717,0,1,0,0,0,1
718,0,1,0,1,0,0
719,0,0,1,0,1,0
720,0,0,1,0,0,1
721,0,0,1,1,0,0
722,0,0,1,0,1,0
723,0,0,1,0,0,1
724,0,0,1,1,0,0
725,0,0,1,0,1,0
726,0,0,1,0,0,1
727,0,0,1,1,0,0
728,1,0,0,0,1,0
729,1,0,0,0,0,1
730,1,0,0,1,0,0
731,1,0,0,0,1,0
732,1,0,0,0,0,1
733,1,0,0,1,0,0
734,1,0,0,0,1,0
735,1,0,0,0,0,1
736,1,0,0,1,0,0
737,0,1,0,0,1,0
738,0,1,0,0,0,1
739,0,1,0,1,0,0
740,0,1,0,0,1,0
741,0,1,0,0,0,1
742,0,1,0,1,0,0
743,0,1,0,0,1,0
744,0,1,0,0,0,1
745,0,1,0,1,0,0
746,0,0,1,0,1,0
747,0,0,1,0,0,1
748,0,0,1,1,0,0
749,0,0,1,0,1,0
750,0,0,1,0,0,1
751,0,0,1,1,0,0
752,0,0,1,0,1,0
753,0,0,1,0,0,1
754,0,0,1,1,0,0
755,1,0,0,0,1,0
756,1,0,0,0,0,1
757,1,0,0,1,0,0
758,1,0,0,0,1,0
759,1,0,0,0,0,1
760,1,0,0,1,0,0
761,1,0,0,0,1,0
762,1,0,0,0,0,1
763,1,0,0,1,0,0
764,0,1,0,0,1,0
765,0,1,0,0,0,1
766,0,1,0,1,0,0
767,0,1,0,0,1,0
768,0,1,0,0,0,1
769,0,1,0,1,0,0
770,0,1,0,0,1,0
771,0,1,0,0,0,1
772,0,1,0,1,0,0
773,0,0,1,0,1,0
774,0,0,1,0,0,1
775,0,0,1,1,0,0
776,0,0,1,0,1,0
777,0,0,1,0,0,1
778,0,0,1,1,0,0
779,0,0,1,0,1,0
780,0,0,1,0,0,1
781,0,0,1,1,0,0
782,1,0,0,0,1,0
783,1,0,0,0,0,1
784,1,0,0,1,0,0
785,1,0,0,0,1,0
786,1,0,0,0,0,1
787,1,0,0,1,0,0
788,1,0,0,0,1,0
789,1,0,0,0,0,1
790,1,0,0,1,0,0
791,0,1,0,0,1,0
792,0,1,0,0,0,1
793,0,1,0,1,0,0
794,0,1,0,0,1,0
795,0,1,0,0,0,1
796,0,1,0,1,0,0
797,0,1,0,0,1,0
798,0,1,0,0,0,1
799,0,1,0,1,0,0
800,0,0,1,0,1,0
801,0,0,1,0,0,1
802,0,0,1,1,0,0
803,0,0,1,0,1,0
804,0,0,1,0,0,1
805,0,0,1,1,0,0
806,0,0,1,0,1,0
807,0,0,1,0,0,1
808,0,0,1,1,0,0
809,1,0,0,0,1,0
810,1,0,0,0,0,1
811,1,0,0,1,0,0
812,1,0,0,0,1,0
813,1,0,0,0,0,1
814,1,0,0,1,0,0
815,1,0,0,0,1,0
816,1,0,0,0,0,1
817,1,0,0,1,0,0
818,0,1,0,0,1,0
819,0,1,0,0,0,1
820,0,1,0,1,0,0
821,0,1,0,0,1,0
822,0,1,0,0,0,1
823,0,1,0,1,0,0
824,0,1,0,0,1,0
825,0,1,0,0,0,1
826,0,1,0,1,0,0
827,0,0,1,0,1,0
828,0,0,1,0,0,1
829,0,0,1,1,0,0
830,0,0,1,0,1,0
831,0,0,1,0,0,1
832,0,0,1,1,0,0
833,0,0,1,0,1,0
834,0,0,1,0,0,1
835,0,0,1,1,0,0
836,1,0,0,0,1,0
837,1,0,0,0,0,1
838,1,0,0,1,0,0
839,1,0,0,0,1,0
840,1,0,0,0,0,1
841,1,0,0,1,0,0
842,1,0,0,0,1,0
843,1,0,0,0,0,1
844,1,0,0,1,0,0
845,0,1,0,0,1,0
846,0,1,0,0,0,1
847,0,1,0,1,0,0
848,0,1,0,0,1,0
849,0,1,0,0,0,1
850,0,1,0,1,0,0
851,0,1,0,0,1,0
852,0,1,0,0,0,1
853,0,1,0,1,0,0
854,0,0,1,0,1,0
855,0,0,1,0,0,1
856,0,0,1,1,0,0
857,0,0,1,0,1,0
858,0,0,1,0,0,1
859,0,0,1,1,0,0
860,0,0,1,0,1,0
861,0,0,1,0,0,1
862,0,0,1,1,0,0
863,1,0,0,0,1,0
864,1,0,0,0,0,1
865,1,0,0,1,0,0
866,1,0,0,0,1,0
867,1,0,0,0,0,1
868,1,0,0,1,0,0
869,1,0,0,0,1,0
870,1,0,0,0,0,1
871,1,0,0,1,0,0
872,0,1,0,0,1,0
873,0,1,0,0,0,1
874,0,1,0,1,0,0
875,0,1,0,0,1,0
876,0,1,0,0,0,1
877,0,1,0,1,0,0
878,0,1,0,0,1,0
879,0,1,0,0,0,1
880,0,1,0,1,0,0
881,0,0,1,0,1,0
882,0,0,1,0,0,1
883,0,0,1,1,0,0
884,0,0,1,0,1,0
885,0,0,1,0,0,1
886,0,0,1,1,0,0
887,0,0,1,0,1,0
888,0,0,1,0,0,1
889,0,0,1,1,0,0
890,1,0,0,0,1,0
891,1,0,0,0,0,1
892,1,0,0,1,0,0
893,1,0,0,0,1,0
894,1,0,0,0,0,1
895,1,0,0,1,0,0
896,1,0,0,0,1,0
897,1,0,0,0,0,1
898,1,0,0,1,0,0
899,0,1,0,0,1,0
900,0,1,0,0,0,1
901,0,1,0,1,0,0
902,0,1,0,0,1,0
903,0,1,0,0,0,1
904,0,1,0,1,0,0
905,0,1,0,0,1,0
906,0,1,0,0,0,1
907,0,1,0,1,0,0
908,0,0,1,0,1,0
909,0,0,1,0,0,1
910,0,0,1,1,0,0
911,0,0,1,0,1,0
912,0,0,1,0,0,1
913,0,0,1,1,0,0
914,0,0,1,0,1,0
915,0,0,1,0,0,1
916,0,0,1,1,0,0
917,1,0,0,0,1,0
918,1,0,0,0,0,1
919,1,0,0,1,0,0
920,1,0,0,0,1,0
921,1,0,0,0,0,1
922,1,0,0,1,0,0
923,1,0,0,0,1,0
924,1,0,0,0,0,1
925,1,0,0,1,0,0
926,0,1,0,0,1,0
927,0,1,0,0,0,1
928,0,1,0,1,0,0
929,0,1,0,0,1,0
930,0,1,0,0,0,1
931,0,1,0,1,0,0
932,0,1,0,0,1,0
933,0,1,0,0,0,1
934,0,1,0,1,0,0
935,0,0,1,0,1,0
936,0,0,1,0,0,1
937,0,0,1,1,0,0
938,0,0,1,0,1,0
939,0,0,1,0,0,1
940,0,0,1,1,0,0
941,0,0,1,0,1,0
942,0,0,1,0,0,1
943,0,0,1,1,0,0
944,1,0,0,0,1,0
945,1,0,0,0,0,1
946,1,0,0,1,0,0
947,1,0,0,0,1,0
948,1,0,0,0,0,1
949,1,0,0,1,0,0
950,1,0,0,0,1,0
951,1,0,0,0,0,1
952,1,0,0,1,0,0
953,0,1,0,0,1,0
954,0,1,0,0,0,1
955,0,1,0,1,0,0
956,0,1,0,0,1,0
957,0,1,0,0,0,1
958,0,1,0,1,0,0
959,0,1,0,0,1,0
960,0,1,0,0,0,1
961,0,1,0,1,0,0
962,0,0,1,0,1,0
963,0,0,1,0,0,1
964,0,0,1,1,0,0
965,0,0,1,0,1,0
966,0,0,1,0,0,1
967,0,0,1,1,0,0
968,0,0,1,0,1,0
969,0,0,1,0,0,1
970,0,0,1,1,0,0
971,1,0,0,0,1,0
972,1,0,0,0,0,1
973,1,0,0,1,0,0
974,1,0,0,0,1,0
975,1,0,0,0,0,1
976,1,0,0,1,0,0
977,1,0,0,0,1,0
978,1,0,0,0,0,1
979,1,0,0,1,0,0
980,0,1,0,0,1,0
981,0,1,0,0,0,1
982,0,1,0,1,0,0
983,0,1,0,0,1,0
984,0,1,0,0,0,1
985,0,1,0,1,0,0
986,0,1,0,0,1,0
987,0,1,0,0,0,1
988,0,1,0,1,0,0
989,0,0,1,0,1,0
990,0,0,1,0,0,1
991,0,0,1,1,0,0
992,0,0,1,0,1,0
993,0,0,1,0,0,1
994,0,0,1,1,0,0
